prediction;test_price
53.04;58.73
53.17;59.77
53.4;61.22
54.61;62.34
55.71;62.58
56.57;62.61
56.93;62.73
57.19;61.43
57.27;60.77
56.65;60.53
56.1;60.13
55.54;60.25
54.65;60.99
54.56;60.94
55.13;60.28
55.11;60.6
54.74;60.65
54.83;59.85
54.62;61.04
53.87;60.38
54.09;59.83
54.23;59.44
53.96;61.3
53.83;61.89
54.54;62.47
55.3;62.11
55.7;62.02
55.62;62.09
55.32;62.77
55.17;63.2
55.29;64.5
55.72;63.68
56.23;64.55
56.09;64.74
56.37;64.5
56.82;64.43
56.58;64.01
56.81;64.12
56.72;64.51
56.86;64.32
57.49;64.36
57.12;64.5
56.73;62.77
56.62;64.11
56.03;63.88
56.35;63.35
56.47;64.47
56.56;65.45
57.36;65.44
58.04;64.97
58.47;64.61
58.36;64.72
58.17;65.38
57.89;65.62
58.1;65.19
58.6;66.54
58.19;66.16
58.58;65.94
58.81;66.29
58.3;65.34
58.18;65.41
57.63;65.65
57.72;66.8
57.98;66.47
58.61;66.9
58.82;65.92
58.76;65.89
58.12;65.88
58.02;66.73
58.26;66.87
58.54;68.33
58.73;69.05
59.56;68.51
59.93;69.35
60.04;69.89
60.48;70.62
61.22;70.36
61.66;72.14
61.55;72.3
62.37;72.18
63.07;72.03
62.7;71.75
62.51;72.24
62.42;71.18
62.65;70.88
62.27;71.34
62.24;69.34
62.17;70.45
61.2;70.29
61.43;70.23
61.39;70.01
61.18;70.22
61.58;71.27
61.85;70.78
62.33;68.82
62.29;68.37
61.18;68.97
60.22;67.5
60.4;69.29
59.95;68.71
60.38;66.23
60.23;67.24
59.13;67.91
58.72;71.51
59.12;71.61
61.16;72.92
61.99;73.62
62.7;73.73
63.25;73.72
63.66;74.98
63.75;75.31
64.18;74.64
64.65;74.94
64.47;75.83
64.03;76.4
64.68;75.91
65.21;75.78
65.18;76.16
64.68;76.47
64.44;75.2
64.9;77.33
64.51;78.24
65.15;78.87
65.96;77.8
66.53;77.57
65.92;76.7
65.85;77.01
65.32;75.64
65.01;75.77
64.49;77.02
64.37;77.59
64.73;76.2
65.5;76.47
64.93;76.04
64.77;75.22
64.4;75.28
64.06;74.4
64.01;74.27
63.84;74.75
64.09;75.77
64.35;77.19
64.67;77.29
65.84;77.31
66.65;76.11
66.7;74.88
66.09;75.3
64.69;76.15
64.25;73.35
64.69;72.88
63.85;73.45
63.2;73.49
63.43;74.71
63.18;75.7
63.96;74.86
64.84;75.19
64.59;75.25
64.65;75.32
64.82;74.03
64.66;73.61
64.27;74.42
64.26;75.08
65.18;75.29
65.51;76.0
66.24;76.86
66.72;76.68
66.96;75.98
67.03;77.22
67.14;77.55
67.26;78.0
67.56;77.68
67.8;76.58
67.19;75.85
65.91;76.08
65.29;76.7
65.55;76.74
65.72;77.78
65.48;77.93
65.84;78.85
65.65;79.25
66.15;79.11
67.01;79.52
66.65;79.5
66.45;79.75
66.16;79.38
66.83;79.72
67.29;80.23
67.33;80.07
67.51;80.89
67.81;80.2
67.66;79.79
67.44;78.36
67.8;78.36
67.15;78.83
66.49;78.7
66.95;79.09
66.99;79.27
67.04;78.38
67.67;78.32
67.24;78.24
66.91;79.4
66.74;79.92
67.86;80.72
68.41;81.14
68.76;81.83
68.95;81.8
69.34;82.18
69.28;81.94
69.55;81.25
69.33;82.54
68.8;82.2
69.48;82.23
69.51;82.1
69.7;81.53
69.82;80.77
69.44;80.47
68.72;81.21
68.66;81.14
68.17;81.58
67.92;81.42
67.99;82.14
68.11;81.6
68.29;82.47
68.67;81.57
68.75;82.53
67.89;81.27
67.75;80.8
67.22;82.56
66.48;82.09
67.25;81.94
67.1;80.92
66.75;82.19
65.95;82.8
66.43;82.53
67.3;82.9
67.13;83.85
67.43;84.49
67.87;85.14
68.97;85.26
69.7;85.02
69.69;85.53
70.4;85.63
70.77;85.53
70.86;85.19
70.71;85.52
70.68;85.39
70.42;85.06
70.03;85.93
69.37;86.06
69.48;85.3
69.89;86.06
70.17;85.7
70.61;84.79
70.27;84.72
69.76;85.14
69.41;84.86
70.05;85.25
69.75;85.43
69.78;85.48
69.91;85.49
69.84;85.63
69.77;84.5
69.53;83.57
69.1;84.65
68.49;83.34
68.57;83.98
68.13;84.06
68.49;84.25
68.79;82.79
69.18;82.13
68.69;83.7
67.86;83.81
68.48;82.44
68.99;83.38
68.62;81.11
69.01;81.64
67.65;79.41
67.33;79.62
